id,nombre
143,MINERÍA
142,AUDIENCIA PÚBLICA
141,RÍO QUEMQUEMTREU
140,NUEVA ESPERANZA
139,INICIATIVA PRIVADA
138,BARRIO ESPERANZA
137,ZONA RURAL
136,MAPUTUR
135,"JARDIN MATERNAL COMUNITARIO ""BICHITO DE LUZ"""
134,ONG
133,FM ALAS
132,ESCUELA 270
131,ESCUELA 140
130,ESCUELA 103
129,CEM 119
128,RENTAS
127,BARRIO OBRERO
126,DEFENSA AL CONSUMIDOR
125,SUBSIDIO
122,ESCUELA PARA ADULTOS N° 11
121,CORTESÍA Y HOMENAJE
120,CENTROS DE SALUD
119,MALLÍN AHOGADO
118,PLAZA PAGANO
117,DONACIÓN
116,COSTA DEL RÍO AZUL
115,ESCUELA HOGAR N°268
114,ASOCIACIÓN AL AGUA TODOS
113,CONCESIÓN
112,PLANEAMIENTO URBANO
111,FERIA DEL LIBRO
110,CULTURA
109,ANIMALES
108,HOSPITAL DE ÁREA EL BOLSÓN
107,SALUD MENTAL
106,BECA ESTUDIANTIL
105,ESTACIONAMIENTO MEDIDO Y TARIFADO
104,TRANSPORTE DE PASAJEROS
103,CAMINO DE LOS NOGALES
102,DESCUENTO
101,BOSQUE TALLADO
100,MULTAS
99,PISTA DE ATLETISMO
98,LIGA DE FÚTBOL REGIONAL INDEPENDIENTE
97,AYUDA ECONÓMICA
96,TESTIGOS DE JEHOVÁ
95,GENDARMERÍA NACIONAL
94,FONDO DE DESARROLLO TURÍSTICO
93,AUTORIZACIÓN DE OBRA
92,IGLESIA ADVENTISTA DEL 7° DÍA
91,IGLESIA BAUTISTA
90,PLANTA DE ELABORACIÓN DE ROSA MOSQUETA
89,AREA NATURAL PROTEGIDA RIO AZUL LAGO ESCONDIDO
88,BARRIO IRIGOYEN
87,LA ANONIMA SA
86,EMPLEADOS MUNICIPALES
85,CLUBES DEPORTIVOS
84,CEM 48
83,ALQUILER DE VEHÍCULOS
82,DELIMITACIÓN JURISDICCIONAL
81,FIESTA DE LA CERVEZA ARTESANAL
80,BARRIO LAS MUTISIAS
79,CEM 94
78,CÁMARA DE CERVECEROS
77,CARITAS
76,ACCIÓN SOCIAL
75,CAMUZZI GAS DEL SUR
74,DPA
73,ARSA
72,BARRIO INDUSTRIAL
71,CERRO PERITO MORENO
70,ASOCIACIÓN CIVIL ALAS
69,BARRIO SAN FRANCISCO
68,JUNTAS VECINALES
67,CHIPEADORA
66,VILLA TURISMO
65,AGROTURISMO
64,REMISES
63,CONSTRUCCIÓN
62,ANTENAS
61,PILAS Y BATERÍAS
60,PROHIBICIÓN BOLSAS PLÁSTICAS
59,TASAS POR SERVICIOS MUNICIPALES
58,JUNTA ELECTORAL
57,JUZGADO DE FALTAS
56,EVALUACIÓN IMPACTO AMBIENTAL
55,TARIFARIA
54,MUSEO REGIONAL
53,TAXIS
52,CARTA ORGÁNICA MUNICIPAL
51,ESCUELA 318
50,RED DE TELEFONÍA
49,COOPETEL
48,BARRIO SAN JOSÉ
47,PLANES DE VIVIENDAS
46,CIBERS
45,JARDINES MATERNALES COMUNITARIOS
44,EDERSA
43,BARRIO USINA
42,TENDIDO ELÉCTRICO
41,ESTACIONAMIENTO
40,TRANSPORTE PESADO
39,CASILLAS RODANTES
38,PUEBLO MAPUCHE
37,CERTIFICADO DE OCUPACIÓN
36,CONCEJO DELIBERANTE
35,POLIDEPORTIVO
34,GIMNASIO MUNICIPAL
33,LOCALES BAILABLES
32,ABANDERADO MUNICIPAL
31,FERIA REGIONAL
30,DIGESTO MUNICIPAL
29,PARAPENTE
28,EMERGENCIA ECONÓMICA
27,OBRA PÚBLICA
26,FIESTA DEL LÚPULO
25,DEUDA PÚBLICA
24,MEDIO AMBIENTE
23,RECURSOS NATURALES
22,CABALGATAS
21,PUBLICIDAD
20,PROHIBICIÓN CULTIVO DE TRANSGÉNICOS
19,CÓDIGO AMBIENTAL
18,TURISMO
17,LICITACIÓN PÚBLICA
16,RED DE GAS
15,BOMBEROS VOLUNTARIOS
14,SISTEMAS DE INFORMACIÓN
13,ALUMBRADO PÚBICO
12,CLOACAS
11,SISTEMA DE CONTRALOR
10,PRESUPUESTO
9,ADJUDICACIÓN VENTA DE LOTES O PARCELAS
8,BARRIO LUJÁN
7,AGUA CORRIENTE
6,SEGURIDAD VIAL
5,TRÁNSITO
4,EMERGENCIA HABITACIONAL
3,PIROTECNIA
2,HABILITACIÓN COMERCIAL
1,COMERCIO
